From,To,Wire Color,Notes
J1(+),F1,Red 16 AWG,Main positive feed from charge controller
F1,J2(+),Red 18 AWG,Branch output 1
F1,J3(+),Red 18 AWG,Branch output 2
F1,J4(+),Red 18 AWG,Branch output 3
F1,J5(+),Red 18 AWG,Branch output 4
J1(-),J2(-),Black 18 AWG,Shared return bus
J1(-),J3(-),Black 18 AWG,Shared return bus
J1(-),J4(-),Black 18 AWG,Shared return bus
J1(-),J5(-),Black 18 AWG,Shared return bus
J1(+),TP1,Red 22 AWG,Voltage measurement point
J1(-),TP2,Black 22 AWG,Voltage measurement point
J1(+),LED1(+),Red 26 AWG,Route through R1 to limit current
LED1(-),J1(-),Black 26 AWG,Return path for indicator LED
